character	meanings	primitive_alternatives	primitives	heisig_keyword5	heisig_keyword6	primitive_keywords	heisig_story	heisig_comment	radicals

# remove non-Heisig primitive 戉
越	surpass, cross over, move to, exceed, Vietnam		走戊	surpass	surpass		Here we see two <i>parades</i> in competition, each trying to <b>surpass</b> the other by <i>running</i> at high speed from one town to the next. Note the little "hook" at the end of the first stroke of the element for <i>parade</i>. This is the ONLY time it appears like this in the kanji treated in this book.		走土戈

# remove non-Heisig primitive 巷 and fix primitives
港	harbor		洪己	harbor	harbor		Deluge . . . snakes.		氵ハ已井

###### 己 self - add 'snake' alternative primitive. Removed reference to 已
己	self			self	self	snake	The kanji carries the abstract sense of the <b>self</b>, the deep-down inner structure of the human person that mythology has often depicted as a <i>snake</i> - which is what the kanji shows pictographically. Be sure to keep it distinct from the similar keywords, <i>oneself</i> (frame 36) and <i>I</i> (frame 17).	As a primitive element, this kanji can be used for the <i>snake</i> - of which it is a pictograph - or any of the various concrete symbolic meanings the <i>snake</i> has in myth and fable.	已
# fix primitive from 已 to 己
配	distribute, spouse, exile, rationing		酉己	distribute	distribute		Whisky bottle . . . snake.		酉已
起	rouse, wake up, get up		走己	rouse	rouse		Run . . . snake.		走土已
記	scribe, account, narrative		言己	scribe	scribe		Words . . . snake.		言已
巻	scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)		[quarter]己	scroll	scroll		<i>Quarter</i> . . . <i>snake</i>. The key word refers to a manuscript rolled up into a <b>scroll</b>, not to a <i>hanging scroll</i> (Frame 435).		大二并已
改	reformation, change, modify, mend, renew, examine, inspect, search		己攵	reformation	reformation		Pluralizing the <i>snake</i> and focusing on a single <i>taskmaster</i> may help recommend the image of Ireland's most famous <b>reformer</b>, St. Patrick, who, legend has it, drove away the <i>snakes</i> from the land.		已攵
紀	chronicle, account, narrative, history, annals, geologic period		糸己	chronicle	chronicle		Thread . . . snake.		糸幺小已
包	wrap, pack up, cover, conceal		勹己	wrap	wrap		Bind up . . . snake.	The primitive meaning of <i>wrap</i> should always be used with the <i>snake</i> in mind to avoid confusion with similar terms. Just let "<i>wrap</i>" mean "with a snake coiled about it."	勹已
妃	queen, princess		女己	queen	queen		Woman . . . snake.		女已
忌	mourning, abhor, detestable, death anniversary		己心	mourning	mourning		Snake . . . heart.		心已
遷	transition, move, change		西大己辶	transition	transition		West . . . St. Bernard dog . . . snake . . . road.		辶西大已
# add comment
已	stop, halt, previously, already, long ago			stop short	stop short		This character can be kept distinct from the familiar sign of the snake 巳 (1.2042) by noting that the final stroke stops short. [3]	Editor's note: Also keep distinct from kanji 己 self (which has also primitive meaning of 'snake').	已


# remove unnecessary fishhook primitive
龍	dragon, imperial		立月[slingshot]己三	dragon (old)	dragon (old)		<i>vase</i> . . . <i>flesh</i> . . . <i>slingshot</i> (doubled up with) a <i>snake</i> . . . <i>three</i>	  	月立

# fix tiger primitives 虍 to 虎
虎	tiger, drunkard	虍	卜厂儿	tiger	tiger		The kanji in this frame recalls the famous Bengali fable about the group of magicians (the <i>magic wand</i>) who decided to make a <b>tiger</b>. It seems that each of them knew how to make one part of the beast, so they pooled their talents and brought all the pieces (<i>diced</i> into pieces) together, at which point the fabricated <i>tiger</b> promptly ate its makers up (the bodiless <i>human legs</i>). Whatever the parable's significance for modern civilization and its arsenals, it should help with this kanji. Oh yes, we should not forget that cliff-like element. Think of it as an abbreviation of the primitive for <i>zoo</i> (the first and fourth strokes, actually), in order to fit the <b>tiger</b> somewhere into the picture. In fact, the abbreviation is perfectly logical, since the bottom elements usurp the room for the rest of the primitive for <i>zoo</i>.	As a primitive element itself, the <i>human legs</i> are also swallowed up, but the meaning of <i>tiger</i> is kept, and the whole serves as a roof for what comes beneath 虍, giving the <i>tiger</i> something else to eat.	卜儿匕厂虍
劇	drama, play		虎豕刀	drama	drama		Tiger . . . sow . . . saber.		刂卜匕厂虍豕
慮	prudence, thought, concern, consider, deliberate, fear		虎思	prudence	prudence		Tiger . . . think.		心田卜匕厂虍

# Fix primitives
濾	filter		水慮	strainer	strainer		Water.. Prudence..		氵田心厂卜

# fix primitive from 戔 to 㦮 (float)
践	tread, step on, trample, practice, carry through		足㦮	tread	tread		Wooden leg . . . parade float.		ノ口足毛丶

# add simplified version 喻 and primitives 
喩	metaphor, compare	喻	口亼刖	metaphor	metaphor		People who try to sound literary often end up butchering the language. Here we see a <i>meeting</i> of <i>butchers</i> whose <i>mouths</i> are producing the <b>metaphors</b>.		刂月口𠆢

# fix primitive 
升	measuring box, 1.8 liter		人千十	measuring box	measuring box		This is the character for the little wooden box that the Japanese use for measuring things, as well as for drinking saké out of. Simply imagine the outside as spiked with a <i>thousand</i> sharp <i>needles</i>, and the quaint little <b>measuring box</b> becomes a drinker's nightmare! Be very careful when you write this character not to confuse it with the writing of <i>thousand</i>. The reason for the difference gives us a chance to clarify another general principle of writing that supersedes the one we mentioned in frame 4: when a single stroke runs vertically through the middle of a character, it is writ<i>ten</i> last.	Editor's note: The stroke order of <i>thousand</i> 千 doesn't actually match this character, but person 亻 should be used instead. ノ + 廾 (two hands) do not match either. 	ノ廾十

# fix primitive from ⺾ (HEXD 2EBE) to 艹 (HEXD 8279) that we and jisho.org uses
蕀	milwort		艹朿朿						｜ハ木冂⺾
莿	thorn		艹朿刀						冂刂⺾木

# fix primitives
憂	melancholy, grieve, lament, be anxious, sad, unhappy		頁冖心夂	melancholy	melancholy		<i>Head</i> . . . <i>crown</i> . . . <i>heart</i> . . . <i>walking legs</i>. Two things merit mention here. First, the doubling-up of the last stroke of <i>head</i> with the top of the <i>crown</i> serves to make the whole more aesthetically beautiful. It happens so rarely that the exceptions are easily learned. Second, try to make a single image out of the four elements. (Religious statuary of <b>melancholy</b> figures should offer plenty of suggestions.)	Editor's note: Notice how also the 'animal legs' ハ from the 'head' 頁 primitive are replaced with walking legs 夂 	一自心冖夂白
氏	family name, surname, clan		丶丿乙一乙	family name	family name		Pay close attention to the stroke order of the elements when learning to write this character. The elements: a long <i>drop</i> . . . <i>fishhook</i> . . . a <i>one</i> . . . <i>fishhook</i>.		氏
矢	dart, arrow		丿丶天	dart	dart		When shot high into the <i>heavens</i>, the <b>dart</b> gets so small it looks like a mere <i>drop</i>. Although this character could as well mean "arrow," it has no connection with the primitive of that meaning. Hence the new key word.		ノ大一矢
共	together, both, neither, all, and, alike, with		龷ハ	together	together		<i>Salad</i> . . . <i>animal legs</i>.	The primitive retains the meaning of <i>together</i>. Imagine things <i>strung together</i> like fish on a line, beads on a thread, or whatever. The main thing is to avoid putting them in a straight row, which would confound this element with the previous one. As we saw with <i>bushel basket</i>, this primitive can join its legs to the final horizontal stroke and stretch them to form an enclosure.	ハ｜一二

###### 丿 'katana' primitive
丿	katakana no radical (no. 4)					katana	This is a non-Heisig primitive, added as a reference to those kanjis which contain one stroke such as this and in which Heisig doesn't explicitely state it should be a 'drop' ( 丶 )primitive.	As a primitive let's use this as a pictograph of a 'katana' (japanese sword)	ノ


# delete erroneously added primitives
[scarecrow]	DELETE
[rag]	DELETE
[character]	DELETE

# fix links
